snapshot,ccgt,hard coal,hydro,ocgt,solar,wind,battery
2020-07-01 00:00:00,6354.8650699296995,10183.177920793256,2.46,2854.1615649241003,0.0,2661.3436710942,2961.391773258745
2020-07-01 01:00:00,3635.9104096808005,12701.44170673779,131.76,2842.5083230585,0.0,2717.1295605229097,0.0
2020-07-01 02:00:00,3917.7606888926002,11249.363144433799,129.3,2762.0212608852003,0.0,2906.4278430821,566.0
2020-07-01 03:00:00,1559.1694869026,12207.188254212451,2.46,2592.3175306996,0.0,2964.61975922935,1843.494968956
2020-07-01 04:00:00,2695.3856974238997,12020.745102021152,131.76,2663.0892950543,49.809618137174,2990.66018368723,1282.7752587621
2020-07-01 05:00:00,1712.4946473688547,9133.900404533664,131.76,2675.4742739854996,1624.7660304783456,2817.62677897218,2176.477864661457
2020-07-01 06:00:00,1470.7979616307,9470.97638377486,2.46,1871.9471312605,4263.5031102489,2718.06541308504,0.0
2020-07-01 07:00:00,1443.7979616307,8915.66851036448,2.46,1453.1567882122,6029.41748879,2812.46360782652,0.0
2020-07-01 08:00:00,1433.8513189448,8389.67006944702,2.46,1329.8996489094,7068.2180678766,2888.33475781528,402.46435682389995
2020-07-01 09:00:00,1351.543764988,8230.123228898583,2.46,1380.4879951897,8169.2888860954,3336.90232502556,664.148219817
2020-07-01 10:00:00,1371.9298561151,6854.931692855879,2.46,1413.7052705055999,7597.111281124,3736.15747938518,1516.9544200142418
2020-07-01 11:00:00,1372.2907673861,7148.133936847168,2.46,1394.3402814253998,11736.5640861846,4013.1653583727493,0.0
2020-07-01 12:00:00,1379.4016786571,6732.516824009424,2.46,1426.2026373262001,9231.1798075861,3832.81531036352,1621.2284168549995
2020-07-01 13:00:00,1352.26558753,7362.99368128726,0.0,1444.407555359,11007.065187800157,3977.74425815111,34.379591103741774
2020-07-01 14:00:00,1358.5701438849,5958.84698820104,2.46,1454.7704918033,9365.9732845772,3937.55354065852,1157.8746321321391
2020-07-01 15:00:00,1318.0701438849,6557.343515900751,0.0,1425.9492992011,8854.3283980492,3850.0368716591697,834.9213956948789
2020-07-01 16:00:00,1320.76558753,7470.977493969927,2.46,1458.6645149698,8811.9483422066,3769.5944252177,740.7343641861726
2020-07-01 17:00:00,1316.7625899281,8795.20468945885,2.46,1479.9326211365003,6505.8548796779605,3797.78521979859,566.0
2020-07-01 18:00:00,1320.9862110312,14178.22793616054,2.46,1484.8266355846,4222.62878802656,3634.0532497024,603.8171794947
2020-07-01 19:00:00,1328.0083932854,11456.846868913108,2.46,1819.338141916,2170.2781254284628,3055.82169945963,2761.7467709974
2020-07-01 20:00:00,2052.0335491606997,10354.34302157073,131.76,2256.39690128697,603.9280837027,3083.69582590968,3907.592618369222
2020-07-01 21:00:00,3940.2490489071997,13276.028766388403,129.3,2836.81546512584,0.0,3221.79918814878,668.9814608397783
2020-07-01 22:00:00,2188.7864946696,12670.65552308626,131.76,2846.32805739087,0.0,3334.75694382417,2072.4629810291
2020-07-01 23:00:00,4228.8443725140005,14686.184877463666,131.76,2969.3375948912,0.0,3363.62200971008,0.0
